Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)",,
Yamato 790105,Y-790105,Official,,1979,Antarctica,H5,0.98 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790106,Y-790106,Official,,1979,Antarctica,H5,0.52 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790107,Y-790107,Official,,1979,Antarctica,H5,1.39 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790108,Y-790108,Official,,1979,Antarctica,H5-melt breccia,0.85 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790109,Y-790109,Official,,1979,Antarctica,H5,1.17 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790110,Y-790110,Official,,1979,Antarctica,H4,1.11 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790111,Y-790111,Provisional,,1979,Antarctica,Stone-uncl,0.81 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790112,Y-790112,Official,,1979,Antarctica,CR2,24 g,,J1(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790113 **,Y-790113,Official,,1979,Antarctica,Eucrite-pmict,19 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790114 **,Y-790114,Official,,1979,Antarctica,Eucrite-pmict,23.9 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790115,Y-790115,Official,,1979,Antarctica,H4,51.4 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790116,Y-790116,Official,,1979,Antarctica,L6,190.7 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790117,Y-790117,Official,,1979,Antarctica,L5,151.4 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790118 **,Y-790118,Official,,1979,Antarctica,Diogenite,12.3 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790119,Y-790119,Official,,1979,Antarctica,L5,11.1 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790120,Y-790120,Official,,1979,Antarctica,H7,2.82 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790121,Y-790121,Official,,1979,Antarctica,H4,10.4 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
